oldcode,state,povrate60,mort_age59_related_postHS,mort_age59_injury_postHS,mort_age59_all_postHS,mort_age25plus_related_postHS,mort_age25plus_injuries_postHS,mort_age59_related_preHS,mort_wh_age59_related_postHS,mort_bl_age59_related_postHS,census1960_pop,census1960_pctsch1417,census1960_pctsch534,census1960_pctsch25plus,census1960_pop1417,census1960_pop534,census1960_pop25plus,census1960_pcturban,census1960_pctblack,census1990_pop,census1990_pop1824,census1990_pop2534,census1990_pop3554,census1990_pop55plus,census1990_pcturban,census1990_pctblack,census1990_percapinc
1001,1,52.959282,0,31.595577,44.233807,83.300934,97.739769,14.318442,0,0,18674,84.599998,.53244501,26.200001,1558,9231,9229,35.299999,42.099998,34222,.096341535,.16241014,.25942376,.18774472,.5802115598153235,.1999298696744784,11182
1002,1,41.671013,0,11.648732,23.297464,97.055901,103.6685,11.500201,0,0,50263,87.900002,.57609057,30.200001,3917,23932,24550,26.4,21,98280,.083455436,.14834148,.25475174,.25444648,0,.1279405779405779,12275
1003,1,65.645645,4.1084633,20.542316,36.97617,138.90552,138.24089,16.655563,0,7.8895464,25058,88.199997,.62536579,20.200001,2187,11961,12207,33.799999,52,25417,.089585714,.14690955,.23740016,.23346579,0,.4412401148837392,9515
1004,1,56.27055,0,26.693359,46.713379,118.44641,139.98213,10.162601,0,0,14923,84,.55287355,16.5,1269,6960,7194,0,30.799999,16576,.10147201,.15371622,.24390686,.20958011,0,.2106660231660232,8973
1005,1,45.624458,0,12.74413,28.674292,97.972374,101.58427,0,0,0,25414,82.699997,.51906377,19.200001,2108,12091,13548,16.299999,3.3,39248,.099342644,.15149817,.26625562,.22536181,0,.0148797390949857,10168
1006,1,71.88475,9.0440445,63.308311,90.440445,167.00945,115.97878,0,0,11.872254,13636,83.300003,.63773525,21.6,1201,6429,6328,27.5,71.900002,11042,.080873027,.1535048,.22468756,.23102699,0,.7218800941858359,6922
1007,1,63.271542,4.9649968,14.89499,54.614964,166.63103,158.52068,11.462632,0,9.9601593,24637,88.300003,.58036852,20.5,2239,11777,12237,26.1,44.700001,21892,.082952678,.13644254,.22336927,.25639504,0,.4020646811620683,7903
1008,1,34.06308,3.0577612,14.269552,29.558357,112.09512,98.596756,9.5328884,2.60532,4.8063059,96246,87.099998,.52070493,31.1,6789,49481,48062,55.5,18.700001,116034,.12533395,.16023752,.24808246,.21602289,.5787700156850578,.1865832428426151,10704
1009,1,42.778378,2.7555041,24.799538,46.843571,153.41283,129.06158,8.373106,5.0107732,0,38929,81,.5550046,23.200001,2935,17344,20340,42.099998,36.700001,36876,.098600715,.14277579,.2356004,.26380301,0,.3592580540188741,10000
1010,1,47.205925,12.558869,43.956043,81.632652,76.581154,118.20134,29.291155,14.220705,0,16886,81.900002,.49855292,20.6,1253,7947,8461,0,10.3,19543,.10059868,.14153406,.26597759,.25533438,0,.0653430895972983,9915
1011,1,52.229008,0,29.610985,40.715107,136.84772,141.64005,24.866343,0,0,26213,84.400002,.52151251,18.700001,2175,12086,13657,22.1,15.9,32458,.09064021,.15623267,.24902952,.23498058,0,.1126994885698441,9826
