net_tfa,age,inc,fsize,educ,db,marr,twoearn,e401,p401,pira,hown
0,47,6765,2,8,0,0,0,0,0,0,1
1015,36,28452,1,16,0,0,0,0,0,0,1
-2000,37,3300,6,12,1,0,0,0,0,0,0
15000,58,52590,2,16,0,1,1,0,0,0,1
0,32,21804,1,11,0,0,0,0,0,0,1
27800,34,34680,1,16,0,0,0,0,0,1,1
2913,28,21600,3,12,0,1,1,0,0,1,1
-650,54,4686,3,11,0,0,0,0,0,0,1
37279,43,65820,2,14,1,1,1,0,0,1,1
1900,32,37260,3,18,0,1,0,0,0,0,1
783,52,15306,3,12,0,1,0,0,0,0,1
-10000,30,58413,4,18,0,1,1,0,0,0,0
-740,63,21630,2,15,0,0,0,0,0,0,1
0,38,30600,1,18,0,1,0,0,0,0,0
-4700,32,33414,4,13,0,1,1,0,0,0,0
-1000,29,14580,3,12,0,0,0,0,0,0,0
-16901,40,57477,4,17,1,1,1,0,0,0,1
2000,30,46008,4,10,0,1,0,0,0,0,1
0,44,3825,1,12,0,0,0,0,0,0,0
0,57,5220,1,18,1,0,0,0,0,0,0
-800,42,9120,5,10,0,0,0,0,0,0,1
52900,41,69693,4,16,0,1,1,0,0,1,1
-9940,39,52110,1,16,1,0,0,0,0,0,0
0,53,30000,3,12,0,1,0,0,0,0,1
2000,64,26826,1,12,0,0,0,0,0,0,1
0,37,10524,3,14,0,0,0,0,0,0,0
0,62,33228,2,12,0,1,1,0,0,0,0
-2238,55,60528,2,12,0,1,0,0,0,0,1
-2797,39,13512,3,12,1,1,1,0,0,0,1
97664,58,44640,1,12,0,0,0,0,0,1,1
-500,43,14280,4,4,0,1,0,0,0,0,0
-4700,37,28134,3,13,0,1,0,0,0,0,0
249,31,14931,1,16,0,0,0,0,0,0,1
400,25,26535,2,14,0,1,0,0,0,0,0
-3000,39,48360,4,13,0,1,1,0,0,0,1
5000,41,31635,2,13,0,0,0,0,0,0,1
24654,52,40041,3,14,0,0,0,0,0,0,1
